anchor,title,raw,calibrated,pack
06_echo_2010_14,?,0.314,0.5490645161290323,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2012_bruno_mars__when_i_was_your_man__album/2012_bruno_mars__when_i_was_your_man__album_20251111_231927.pack.json
06_echo_2010_14,?,0.463,0.6980645161290323,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2013_lorde__royals__single/2013_lorde__royals__single_20251111_232839.pack.json
06_echo_2010_14,?,0.48,0.7150645161290323,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2014_meghan_trainor__all_about_that_bass__album/2014_meghan_trainor__all_about_that_bass__album_20251111_233311.pack.json
06_echo_2010_14,?,0.459,0.6940645161290323,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2011_maroon_5_christina_aguilera__moves_like_jagger__album/2011_maroon_5_christina_aguilera__moves_like_jagger__album_20251111_231742.pack.json
06_echo_2010_14,?,0.479,0.7140645161290322,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2014_sam_smith__stay_with_me__album/2014_sam_smith__stay_with_me__album_20251111_233553.pack.json
06_echo_2010_14,?,0.428,0.6630645161290323,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2011_calvin_harris_rihanna__we_found_love__album/2011_calvin_harris_rihanna__we_found_love__album_20251111_231608.pack.json
06_echo_2010_14,?,0.434,0.6690645161290323,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2010_katy_perry__last_friday_night_tgif__album/2010_katy_perry__last_friday_night_tgif__album_20251111_231122.pack.json
06_echo_2010_14,?,0.308,0.5430645161290323,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2014_taylor_swift__shake_it_off__album/2014_taylor_swift__shake_it_off__album_20251111_233721.pack.json
06_echo_2010_14,?,0.367,0.6020645161290323,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2012_fun_janelle_monae__we_are_young__album/2012_fun_janelle_monae__we_are_young__album_20251111_232057.pack.json
06_echo_2010_14,?,0.255,0.4900645161290323,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2010_eminem_rihanna__love_the_way_you_lie__album/2010_eminem_rihanna__love_the_way_you_lie__album_20251111_230913.pack.json
06_echo_2010_14,?,0.518,0.7530645161290324,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2013_daft_punk_pharrell_williams__get_lucky__single/2013_daft_punk_pharrell_williams__get_lucky__single_20251111_232420.pack.json
06_echo_2010_14,?,0.341,0.5760645161290323,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2011_adele__someone_like_you__album/2011_adele__someone_like_you__album_20251111_231516.pack.json
06_echo_2010_14,?,0.424,0.6590645161290323,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2014_taylor_swift__blank_space__album/2014_taylor_swift__blank_space__album_20251111_233625.pack.json
06_echo_2010_14,?,0.476,0.7110645161290323,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2012_taylor_swift__we_are_never_ever_getting_back_together__album/2012_taylor_swift__we_are_never_ever_getting_back_together__album_20251111_232337.pack.json
