year,year_end_rank,artist,title,spotify_id,match_source,ext_artist_raw,ext_title_raw,tempo,danceability,energy,loudness,valence,duration_ms
1986,15,Pet Shop Boys,West End Girls,2Di0qFNb7ATroCGB3q0Ka7,id,['Pet Shop Boys'],West End Girls - 2018 Remaster,113.259,0.656,0.914,-7.471,0.576,285907
1986,16,Peter Gabriel,Sledgehammer,4AUS8KNz7zX8XFu9L38GT0,id,['Peter Gabriel'],Sledgehammer - 2012 Remaster,96.319,0.641,0.682,-7.561,0.468,311986
1986,17,Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou,All Cried Out,0046quUYhSAFccrKIC3Iht,id,"['Lisa Lisa & Cult Jam', 'Full Force']",All Cried Out (with Full Force),144.435,0.48,0.435,-9.959,0.328,284973
1986,18,Whitney Houston,How Will I Know,2kfB5H5vNYcG87SKabmKCa,fuzzy,['Whitney Houston'],How Will I Know - Acappella,118.306,0.592,0.228,-14.942,0.413,239413
1986,19,Stacey Q,Two Of Hearts,2dURQIBrw3XcHyVZlfdpC1,id,['Stacey Q'],Two of Hearts,130.154,0.852,0.523,-6.716,0.65,237533
1986,20,Berlin,"Take My Breath Away (Love Theme From ""Top Gun"")",7opCkB3bkWEstc2UvmbI7u,fuzzy,['Berlin'],Take My Breath Away (as heard in Top Gun) (Re-Recorded / Remastered),96.225,0.518,0.642,-6.009,0.597,249250
1986,21,Howard Jones,No One Is To Blame,4AoR61nMXOgXrrNjuusASh,fuzzy,['Howard Jones'],No One Is To Blame - Remastered,95.119,0.747,0.496,-8.824,0.817,249853
1986,22,Janet Jackson,What Have You Done For Me Lately,2SFq0UIiBWkBgky0fkrHP0,id,['Janet Jackson'],What Have You Done For Me Lately,114.045,0.846,0.396,-12.408,0.841,299493
1986,23,Kenny Loggins,Danger Zone,34x6hEJgGAOQvmlMql5Ige,id,['Kenny Loggins'],"Danger Zone - From ""Top Gun"" Original Soundtrack",157.17,0.544,0.897,-6.056,0.647,215133
1986,24,Whitney Houston,Greatest Love Of All,6yJxCltgtmGxIgKOS6ndnu,id,['Whitney Houston'],Greatest Love of All,131.242,0.502,0.305,-16.011,0.248,291400
1986,25,The Outfield,Your Love,0WoFs3EdGOx58yX5BtXvOa,fuzzy,['The Outfield'],Your Love,129.617,0.556,0.764,-7.725,0.597,222960
